frame,time_s,terrain_mean,splash_pixels,stem_color_pixels,upper_stem_pixels,stem_top_y
267,4.45,16.451,6629,338,168,360.0
268,4.466667,16.446,6914,368,151,364.0
269,4.483333,16.445,7054,220,23,358.0
270,4.5,16.467,6677,353,140,361.0
271,4.516667,16.469,6271,503,206,361.0
272,4.533333,16.435,6315,426,118,361.0
273,4.55,16.427,6068,506,125,361.0
274,4.566667,16.416,5217,403,48,430.0
275,4.583333,16.433,4918,542,200,360.0
276,4.6,16.424,5151,654,251,360.0
277,4.616667,16.417,5039,452,95,360.0
278,4.633333,16.425,4268,482,121,360.0
279,4.65,16.437,3797,518,217,360.0
280,4.666667,16.437,3763,371,102,360.0
281,4.683333,16.44,3486,384,71,360.0
282,4.7,16.458,3339,420,92,360.0
283,4.716667,16.441,3117,512,189,360.0
284,4.733333,16.472,3075,491,190,360.0
285,4.75,16.471,2676,301,30,360.0
286,4.766667,16.467,2536,444,70,360.0
287,4.783333,16.468,2436,545,137,360.0
288,4.8,16.473,2292,505,109,360.0
289,4.816667,16.475,2222,587,130,360.0
290,4.833333,16.477,2345,579,131,360.0
291,4.85,16.48,2196,694,192,360.0
292,4.866667,16.479,1907,761,230,360.0
293,4.883333,16.484,1801,539,147,360.0
294,4.9,16.483,1809,602,172,360.0
295,4.916667,16.481,1444,722,248,360.0
296,4.933333,16.469,1281,665,157,360.0
297,4.95,16.457,1278,739,153,360.0
298,4.966667,16.453,1195,826,171,360.0
299,4.983333,16.451,1191,858,209,360.0
300,5.0,16.459,851,973,224,360.0
301,5.016667,16.436,813,846,183,360.0
302,5.033333,16.424,736,1171,191,360.0
303,5.05,16.412,653,1009,204,360.0
304,5.066667,16.399,576,1082,238,360.0
305,5.083333,16.417,585,1056,106,360.0
306,5.1,16.401,605,1362,187,360.0
307,5.116667,16.413,493,1396,216,360.0
308,5.133333,16.415,380,1454,251,360.0
309,5.15,16.411,430,1377,215,360.0
310,5.166667,16.416,361,1695,224,360.0
311,5.183333,16.427,369,1624,156,362.0
312,5.2,16.435,284,1480,236,364.0
313,5.216667,16.455,361,882,144,370.0
314,5.233333,16.463,325,904,124,378.0
315,5.25,16.463,267,969,123,384.0
316,5.266667,16.472,220,1129,118,390.0
317,5.283333,16.475,237,1344,114,396.0
318,5.3,16.476,222,1120,139,402.0
319,5.316667,16.477,199,975,121,406.0
320,5.333333,16.483,196,807,116,416.0
321,5.35,16.475,175,603,71,421.0
322,5.366667,16.474,162,528,77,424.0
323,5.383333,16.486,181,571,102,427.0
324,5.4,16.491,185,525,59,431.0
325,5.416667,16.496,140,580,56,432.0
326,5.433333,16.508,158,522,50,434.0
327,5.45,16.502,167,498,43,438.0
328,5.466667,16.523,180,540,42,440.0
329,5.483333,16.531,188,507,43,442.0
330,5.5,16.535,150,521,45,444.0
331,5.516667,16.531,160,487,57,446.0
332,5.533333,16.54,211,337,41,448.0
333,5.55,16.549,185,362,29,448.0
334,5.566667,16.553,234,374,24,448.0
335,5.583333,16.537,219,388,23,449.0
336,5.6,16.538,235,334,20,450.0
337,5.616667,16.537,192,333,20,450.0
338,5.633333,16.527,225,357,20,450.0
339,5.65,16.538,191,411,20,450.0
340,5.666667,16.527,200,517,22,449.0
341,5.683333,16.529,201,517,22,449.0
342,5.7,16.546,237,657,50,444.0
343,5.716667,16.546,239,647,37,442.0
344,5.733333,16.552,239,464,44,438.0
345,5.75,16.552,234,491,56,434.0
346,5.766667,16.562,282,363,54,430.0
347,5.783333,16.572,294,451,77,424.0
348,5.8,16.584,262,482,75,416.0
349,5.816667,16.585,275,547,91,411.0
350,5.833333,16.596,241,663,134,408.0
351,5.85,16.593,285,504,74,402.0
352,5.866667,16.602,274,606,109,398.0
353,5.883333,16.598,281,631,113,392.0
354,5.9,16.594,307,687,115,390.0
355,5.916667,16.608,287,681,137,386.0
356,5.933333,16.605,302,738,118,384.0
357,5.95,16.606,291,770,134,380.0
358,5.966667,16.606,268,822,196,376.0
359,5.983333,16.61,325,865,137,372.0
